IsPrivate,IsVerified,HasProfilePic,FollowingCount,FollowerCount,LikesCount,HasInstagram,HasYoutube,HasBio,HasLinkInBio,HasPosts,PostsCount,FollowToFollowerRatio,IsBot
0,0,1,256,9,0,0,0,0,0,0,0,28.444444444444443,1
0,0,1,1791,106,4,0,0,0,0,1,1,16.89622641509434,1
0,0,1,30,0,0,0,0,1,0,0,0,0.0,1
0,0,1,228,211,844,1,0,1,0,1,20,1.080568720379147,0
0,0,1,82,286,3140,0,0,1,0,1,20,0.2867132867132867,0
0,0,1,29,2,0,0,0,0,0,1,1,14.5,1
0,0,1,129,5,0,0,0,0,0,0,0,25.8,1
0,0,1,108,130400,732100,1,0,1,0,1,20,8.282208588957E-4,0
0,0,1,145,179300,2400000,1,0,1,0,1,12,8.08700501952E-4,0
0,0,1,9,2,0,1,0,1,0,0,0,4.5,0
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,420,12,0,0,0,0,0,0,0,35.0,1
0,0,1,353,5,0,0,0,0,0,0,0,70.6,1
0,0,1,1333,45,0,0,0,0,0,0,0,29.622222222222224,1
0,0,1,388,114,217,0,0,0,0,1,16,3.4035087719298245,1
0,0,1,162,107700,838300,1,1,1,0,1,20,0.0015041782729805,0
0,0,1,840,2710,23000,1,0,1,0,1,20,0.3099630996309963,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
0,0,1,1055,35,0,0,0,0,0,0,0,30.142857142857142,1
0,0,1,378,11,0,0,0,0,0,0,0,34.36363636363637,1
0,0,1,1769,29,28,0,0,0,0,1,9,61.0,1
0,0,1,273,4,0,0,0,0,0,0,0,68.25,1
0,0,1,46,32,0,0,0,0,0,0,0,1.4375,0
0,0,1,479,21,0,0,0,0,0,0,0,22.80952380952381,1
0,1,1,26,3700000,47200000,1,1,1,0,1,20,7.027027027027027E-6,0
0,0,1,93,0,0,0,0,1,0,0,0,0.0,1
0,0,1,173,3,0,0,0,0,0,0,0,57.66666666666666,1
0,0,1,247,91,1576,0,0,1,0,1,20,2.7142857142857144,0
0,1,1,27,1900000,61300000,0,0,1,0,1,20,1.4210526315789472E-5,0
0,0,1,799,26,0,0,0,0,0,0,0,30.73076923076923,1
0,0,1,34,943,9895,1,0,1,0,1,5,0.0360551431601272,0
0,0,0,0,0,0,0,0,1,0,0,0,0.0,1
0,0,1,436,17,0,0,0,0,0,0,0,25.647058823529413,1
0,0,1,86,0,0,0,0,1,0,0,0,0.0,1
0,0,1,2,92700,386200,0,0,1,0,1,20,2.157497303128371E-5,0
0,0,1,367,4,0,0,0,0,0,0,0,91.75,1
0,0,1,66,2656,10100,1,0,1,0,1,20,0.0248493975903614,0
0,0,1,508,9,0,0,0,0,0,0,0,56.44444444444444,1
0,0,1,13,7,0,0,0,1,0,0,0,1.8571428571428568,0
0,0,1,9992,546,880,0,0,1,0,1,20,18.3003663003663,1
0,0,1,340,2,0,0,0,0,0,0,0,170.0,1
0,0,1,116,3,0,0,0,0,0,0,0,38.66666666666666,1
1,0,1,782,133,957,0,0,0,0,0,0,5.879699248120301,0
0,0,1,82,0,0,0,0,1,0,0,0,0.0,1
0,0,1,57,475,697,0,0,1,0,1,6,0.12,1
0,0,1,60,0,0,0,0,0,0,0,0,0.0,1
0,0,1,538,132800,4900000,1,1,1,0,1,20,0.0040512048192771,0
0,0,1,451,212,7103,1,0,1,0,1,20,2.1273584905660377,0
0,0,1,16,12,10,1,0,1,0,0,0,1.3333333333333333,0
0,0,1,117,3,0,0,0,1,0,0,0,39.0,1
0,0,1,350,7,0,0,0,0,0,0,0,50.0,1
0,0,1,5,0,0,0,0,0,0,0,0,0.0,0
0,0,1,3680,125,3,0,0,1,0,1,10,29.44,1
1,0,1,112,164,2010,0,0,0,0,0,0,0.6829268292682927,0
