has_custom_cover_image,description_length,favourites_count,followers_count,friends_count,followers_to_friends_ratio,has_location,username_digit_count,username_length,statuses_count,is_verified,account_age_days,account_type
0,7,12236,350,255,1.3671875,1,0,13,15108,0,2823,0
0,116,3107,1032,1573,0.6556543837357052,1,0,7,39389,0,4102,0
0,36,41497,707,956,0.7387669801462905,1,0,13,57812,0,2051,0
0,34,22,205,516,0.3965183752417795,1,0,11,4916,0,3948,0
0,143,6102,1147,33,33.73529411764706,1,0,10,2953,0,3212,1
0,128,54,1593317,79,19916.4625,1,0,14,13301,1,3348,0
0,149,351025,178326,8184,21.786927306047648,1,0,14,225421,1,2865,0
0,7,1928,111,282,0.392226148409894,1,0,11,964,0,4153,0
0,96,205,429,1609,0.26645962732919254,1,0,9,35432,0,3217,0
0,57,374,37,29,1.2333333333333334,0,9,12,85,0,1731,1
0,7,15,1,0,1.0,0,2,15,162,0,1155,1
0,134,13688,3652,4984,0.7325977933801404,1,0,8,33721,0,4893,0
0,9,1210,13,37,0.34210526315789475,1,0,9,1513,0,2830,1
0,7,4367,240,189,1.263157894736842,0,2,11,10414,0,2039,1
0,7,10,744733,10,67703.0,1,0,15,13209,0,3167,0
0,158,7717,148171,3007,49.258976063829785,1,0,13,18612,1,4160,0
0,69,792,18800,7283,2.5809994508511807,1,0,10,22976,0,2858,0
0,83,14443,48,303,0.15789473684210525,1,3,9,4760,0,3299,0
0,14,296,1155477,557,2070.7473118279568,1,0,12,2334,1,4092,0
0,42,3465,194,339,0.5705882352941176,0,0,10,659,0,2318,0
0,152,159,1119498,1439,777.4291666666667,0,0,6,26980,1,4538,0
0,129,15559,19985,1098,18.18471337579618,1,0,11,6200,0,4487,0
0,113,21,8,91,0.08695652173913043,1,0,11,26,0,901,0
0,124,367,336,127,2.625,1,0,10,1241,0,864,0
0,11,16916,467,320,1.4548286604361371,1,0,12,16214,0,1260,0
0,78,26640,11630,11668,0.9966578112948838,1,2,12,85246,0,3346,0
0,91,9875,2126,2067,1.0280464216634428,1,0,8,25797,1,4191,0
0,160,2362,424,0,424.0,1,0,11,8028,0,3375,1
0,103,14909,52874,23130,2.285850157796896,1,0,13,16488,0,3122,0
0,14,1332,15,28,0.5172413793103449,0,1,15,1332,0,1463,1
0,158,16113,232638,4044,57.51248454882571,1,0,12,44079,1,4073,0
0,148,9620,226230,1500,150.7195203197868,1,0,6,27336,1,4359,0
0,7,13744,372,277,1.3381294964028776,0,0,9,20772,0,2889,0
0,19,3589,109,0,109.0,1,0,11,7127,0,2760,1
0,7,20348,264,1137,0.23198594024604569,0,0,8,3388,0,3565,0
0,7,92466,185,214,0.8604651162790697,1,4,7,30757,0,2382,1
0,130,117,4072365,16,239550.88235294117,1,0,13,5238,1,3989,0
0,157,63716,1477,3773,0.3913619501854796,1,3,10,10040,0,2213,0
0,48,1260,6,198,0.03015075376884422,1,0,8,2031,0,3654,1
0,41,1,171,270,0.6309963099630996,1,0,13,2098,0,1985,1
0,96,68230,5140,245,20.89430894308943,1,0,11,85256,0,2760,0
0,44,221,449106,1111,403.8723021582734,0,0,10,3991,1,3674,0
0,58,1494,292,633,0.4605678233438486,1,2,8,4591,0,3990,0
0,160,5030,748,830,0.9001203369434416,1,0,13,4298,0,2588,0
0,134,57613,178618,5021,35.56710473914775,1,0,13,86501,1,3281,0
0,7,585,64,70,0.9014084507042254,0,0,11,762,0,2543,1
0,7,1429,3,0,3.0,0,0,15,2147,0,3031,1
0,147,6493,236,1109,0.2126126126126126,1,0,14,11636,0,2872,1
1,7,3,11,2055,0.005350194552529183,0,4,12,7,0,1954,1
0,43,54,0,0,0.0,0,1,15,123,0,1444,0
0,156,2411,117,193,0.6030927835051546,1,2,6,1725,0,3351,0
0,61,29,0,37,0.0,1,0,11,242,0,1271,1
0,7,4922,438,357,1.223463687150838,1,0,11,6827,0,2539,0
0,63,3006,284,358,0.7910863509749304,0,0,9,20257,0,3335,1
0,7,120,1,0,1.0,0,4,15,239,0,1118,0
0,163,162711,434,326,1.327217125382263,1,0,10,56232,0,3561,0
0,36,28751,200,314,0.6349206349206349,0,0,11,2465,0,1649,0
0,7,319,0,0,0.0,0,4,13,648,0,1107,0
0,8,6,344912,894,385.37653631284917,1,0,5,1187,0,4157,0
0,4,2,156882,33,4614.176470588235,1,0,12,136,0,3568,0
0,7,38,26,7,3.25,0,4,7,5283,0,1807,1
0,143,4902,9175,4701,1.9512973202892385,1,0,10,13635,1,4267,0
0,71,1393,7636,3732,2.04553978033753,1,0,11,5319,0,3355,0
0,57,253,18,233,0.07692307692307693,0,0,6,54,0,2824,1
0,88,5045,182,388,0.46786632390745503,1,0,5,6754,0,4080,0
0,50,55411,349,350,0.9943019943019943,1,0,9,10001,0,3301,0
0,124,1879,4223,1204,3.504564315352697,1,0,10,6993,1,2780,0
0,91,1022,72,224,0.32,0,1,9,1157,0,4732,0
0,145,9245,1981,1491,1.3277479892761395,1,0,11,3750,0,3561,0
